Price,Promotional_Price,Url
,"109,99",https://www.coolblue.nl/en/product/771306/netgear-gss108epp.html
,"57,99",https://www.coolblue.nl/en/product/814766/netgear-gs908e.html
,"145,99",https://www.coolblue.nl/en/product/793579/netgear-gc110p.html
,"139,-",https://www.coolblue.nl/en/product/783452/tp-link-tl-sg1008pe.html
,"119,99",https://www.coolblue.nl/en/product/810971/tp-link-t1500g-10ps.html
,"27,99",https://www.coolblue.nl/en/product/178642/d-link-dgs-105.html
,"148,99",https://www.coolblue.nl/en/product/460543/linksys-lgs318.html
,"101,99",https://www.coolblue.nl/en/product/808534/netgear-gs108pp.html
,"115,99",https://www.coolblue.nl/en/product/786495/hp-1420-16g.html
,"24,99",https://www.coolblue.nl/en/product/438971/linksys-lgs105.html
,"53,99",https://www.coolblue.nl/en/product/786527/hp-1420-8g.html
,"835,-",https://www.coolblue.nl/en/product/827399/ubiquiti-us-48-500w.html
,"81,99",https://www.coolblue.nl/en/product/394207/d-link-dgs-1016d.html
,"1.049,-",https://www.coolblue.nl/en/product/763758/netgear-gsm4210p.html
,"297,-",https://www.coolblue.nl/en/product/823254/optoma-lv130.html
,"1.999,-",https://www.coolblue.nl/en/product/826074/epson-eh-tw7400.html
,"249,-",https://www.coolblue.nl/en/product/756868/salora-58bhd2500.html
,"369,-",https://www.coolblue.nl/en/product/787220/benq-mx532.html
,"89,90",https://www.coolblue.nl/en/product/820338/tp-link-tl-sg116e.html
,"54,99",https://www.coolblue.nl/en/product/786541/hp-1405-8g-v3.html
,"589,-",https://www.coolblue.nl/en/product/666116/benq-mw632st.html
,"329,-",https://www.coolblue.nl/en/product/741485/lg-ph150g.html
,"204,99",https://www.coolblue.nl/en/product/733057/konig-hdmi-splitter-2x-hdmi-in-8x-hdmi-out.html
,"223,-",https://www.coolblue.nl/en/product/311361/netgear-prosafe-fs116p.html
,"69,95",https://www.coolblue.nl/en/product/480649/marmitek-connect-ts41.html
,"199,99",https://www.coolblue.nl/en/product/825219/linksys-lgs308mp.html
,"69,95",https://www.coolblue.nl/en/product/806699/marmitek-connect-620-uhd-2-0.html
,"365,-",https://www.coolblue.nl/en/product/808548/netgear-xs505m.html
,"229,90",https://www.coolblue.nl/en/product/777842/asus-xg-u2008.html
,"129,-",https://www.coolblue.nl/en/product/793576/netgear-gc110.html
,"64,99",https://www.coolblue.nl/en/product/820337/tp-link-tl-sg116.html
,"34,99",https://www.coolblue.nl/en/product/687082/vivanco-hdmi-switch-4-1.html
"249,-","172,-",https://www.coolblue.nl/en/second-chance-product/672185
,"122,99",https://www.coolblue.nl/en/product/744769/netgear-jgs524.html
,"77,99",https://www.coolblue.nl/en/product/394199/tp-link-tl-sg1016.html
"329,-","299,-",https://www.coolblue.nl/en/second-chance-product/717287
,"74,99",https://www.coolblue.nl/en/product/438997/linksys-lgs108p.html
"69,95","62,-",https://www.coolblue.nl/en/second-chance-product/686580
,"174,99",https://www.coolblue.nl/en/product/566135/netgear-gss116e.html
,"299,-",https://www.coolblue.nl/en/product/783510/tp-link-t1600g-28ps.html
,"165,99",https://www.coolblue.nl/en/product/786577/hp-1820-8g-poe-65w.html
,"247,-",https://www.coolblue.nl/en/product/814767/netgear-nighthawk-gs810emx.html
"365,-","293,-",https://www.coolblue.nl/en/second-chance-product/658057
,"479,-",https://www.coolblue.nl/en/product/809893/benq-mx611.html
"69,95","65,-",https://www.coolblue.nl/en/second-chance-product/713340
,"1.129,-",https://www.coolblue.nl/en/product/799982/lg-hf80jg.html
,"499,-",https://www.coolblue.nl/en/product/802911/vivitek-qumi-q3-plus-gold.html
,"339,-",https://www.coolblue.nl/en/product/800552/acer-p1150.html
,"699,-",https://www.coolblue.nl/en/product/810994/optoma-ml1050st.html
,"949,-",https://www.coolblue.nl/en/product/790881/benq-mu706.html
"1.299,-","1.199,-",https://www.coolblue.nl/en/product/823259/optoma-lh200.html
"74,99","69,-",https://www.coolblue.nl/en/second-chance-product/714845
,"749,-",https://www.coolblue.nl/en/product/801921/benq-mu641.html
"389,-","349,-",https://www.coolblue.nl/en/product/827781/acer-k137i.html
,"669,-",https://www.coolblue.nl/en/product/754329/benq-w1090.html
,"399,-",https://www.coolblue.nl/en/product/822187/optoma-h184x.html
,"2.899,-",https://www.coolblue.nl/en/product/801228/acer-vl7860.html
,"499,-",https://www.coolblue.nl/en/product/802915/vivitek-qumi-q3-plus-white.html
"432,-","349,-",https://www.coolblue.nl/en/product/792225/celluon-picobit-s.html
,"429,-",https://www.coolblue.nl/en/product/797533/epson-eb-w41.html
,"699,-",https://www.coolblue.nl/en/product/714084/lg-pf1500g.html
"219,-","117,-",https://www.coolblue.nl/en/second-chance-product/687891
"499,-","349,-",https://www.coolblue.nl/en/second-chance-product/667765
,"449,-",https://www.coolblue.nl/en/product/789700/optoma-ml330-gray.html
,"969,-",https://www.coolblue.nl/en/product/754330/benq-w1210st.html
"669,-","617,-",https://www.coolblue.nl/en/second-chance-product/681681
,"143,99",https://www.coolblue.nl/en/product/616125/netgear-prosafe-gs716t.html
"349,-","332,-",https://www.coolblue.nl/en/second-chance-product/719569
,"199,99",https://www.coolblue.nl/en/product/439006/linksys-lgs124p.html
,"102,99",https://www.coolblue.nl/en/product/786550/hp-1820-8g.html
,"259,-",https://www.coolblue.nl/en/product/789932/tp-link-t1500-28pct.html
,"69,99",https://www.coolblue.nl/en/product/311360/tp-link-tl-sg1008p.html
,"234,-",https://www.coolblue.nl/en/product/793299/netgear-gs348.html
"499,-","439,-",https://www.coolblue.nl/en/second-chance-product/678567
"349,-","322,-",https://www.coolblue.nl/en/second-chance-product/684638
"2.899,-","2.755,-",https://www.coolblue.nl/en/second-chance-product/711246
"449,-","427,-",https://www.coolblue.nl/en/second-chance-product/715637
,"29,99",https://www.coolblue.nl/en/product/81959/d-link-dgs-1008d-8-port-gigabit-switch.html
,"79,99",https://www.coolblue.nl/en/product/438984/linksys-lgs116.html
,"308,-",https://www.coolblue.nl/en/product/783537/tp-link-t1600g-52ts.html
,"74,99",https://www.coolblue.nl/en/product/649244/vogel-s-wall-2125-white.html
,"45,99",https://www.coolblue.nl/en/product/362207/hama-fix-xl-3-stars.html
"199,99","184,-",https://www.coolblue.nl/en/second-chance-product/717918
,"99,-",https://www.coolblue.nl/en/product/782587/logitech-tv-mount-for-meetup.html
,"49,99",https://www.coolblue.nl/en/product/451903/newstar-nm-w345black.html
,"39,99",https://www.coolblue.nl/en/product/411896/vogel-s-base-15-s.html
"234,-","189,-",https://www.coolblue.nl/en/second-chance-product/673368
,"89,-",https://www.coolblue.nl/en/product/451928/newstar-nm-w440white.html
,"175,-",https://www.coolblue.nl/en/product/700648/playseat-tv-stand-pro.html
,"64,95",https://www.coolblue.nl/en/product/262609/newstar-fpma-w832.html
,"45,99",https://www.coolblue.nl/en/product/451907/newstar-nm-w360black.html
,"79,95",https://www.coolblue.nl/en/product/263031/newstar-fpma-w835.html
,"24,99",https://www.coolblue.nl/en/product/684352/valueline-vlm-mfm21.html
,"44,95",https://www.coolblue.nl/en/product/262342/newstar-fpma-w812.html
,"59,-",https://www.coolblue.nl/en/product/451912/newstar-nm-w365black.html
,"99,-",https://www.coolblue.nl/en/product/780347/vogel-s-thin-415.html
,"449,-",https://www.coolblue.nl/en/product/747895/vogel-s-next-7346-lg-oled-mount.html
,"69,99",https://www.coolblue.nl/en/product/725291/one-for-all-wm4451.html
,"66,99",https://www.coolblue.nl/en/product/411999/vogel-s-base-05-l.html
"39,99","35,-",https://www.coolblue.nl/en/second-chance-product/688757
,"99,99",https://www.coolblue.nl/en/product/439025/vogel-s-wall-2225-white.html
,"67,99",https://www.coolblue.nl/en/product/412001/vogel-s-base-15-l.html
,"189,99",https://www.coolblue.nl/en/product/793419/vogel-s-wall-3250.html
,"169,-",https://www.coolblue.nl/en/product/780416/vogel-s-thin-425.html
"45,99","43,-",https://www.coolblue.nl/en/second-chance-product/715190
,"54,99",https://www.coolblue.nl/en/product/411901/vogel-s-base-25-s.html
,"169,-",https://www.coolblue.nl/en/product/222968/vogel-s-thin-325.html
"99,-","92,-",https://www.coolblue.nl/en/second-chance-product/718888
,"169,-",https://www.coolblue.nl/en/product/320552/vogel-s-eff-8230.html
,"69,95",https://www.coolblue.nl/en/product/793420/vogel-s-wall-3315.html
,"34,99",https://www.coolblue.nl/en/product/561037/newstar-nm-w125black.html
,"34,99",https://www.coolblue.nl/en/product/451900/newstar-nm-w340black.html
"44,95","40,-",https://www.coolblue.nl/en/second-chance-product/690031
,"51,99",https://www.coolblue.nl/en/product/411947/vogel-s-base-15-m.html
"69,99","65,-",https://www.coolblue.nl/en/second-chance-product/702650
"66,99","61,-",https://www.coolblue.nl/en/second-chance-product/715766
"189,99","170,-",https://www.coolblue.nl/en/second-chance-product/703597
"169,-","148,-",https://www.coolblue.nl/en/second-chance-product/686897
,"699,-",https://www.coolblue.nl/en/product/632329/onkyo-sks-ht978thx-set.html
"54,99","49,-",https://www.coolblue.nl/en/second-chance-product/687051
,"399,-",https://www.coolblue.nl/en/product/819477/klipsch-r-34c-each.html
,"429,-",https://www.coolblue.nl/en/product/819475/klipsch-r-41pm-per-pair.html
,"398,-",https://www.coolblue.nl/en/product/671053/kef-e301-white-per-pair.html
,"398,-",https://www.coolblue.nl/en/product/671050/kef-e301-black-per-pair.html
,"398,-",https://www.coolblue.nl/en/product/677789/kef-t101-white-per-pair.html
,"398,-",https://www.coolblue.nl/en/product/675330/kef-t101-black-per-pair.html
,"599,-",https://www.coolblue.nl/en/product/489557/bose-251-wit-per-paar.html
,"599,-",https://www.coolblue.nl/en/product/489555/bose-251-zwart-per-paar.html
,"429,-",https://www.coolblue.nl/en/product/465901/dali-zensor-7-white-per-unit.html
,"429,-",https://www.coolblue.nl/en/product/465897/dali-zensor-7-black-per-unit.html
,"449,-",https://www.coolblue.nl/en/product/819479/klipsch-r-120sw.html
,"559,-",https://www.coolblue.nl/en/product/819361/klipsch-rp-402s-per-pair.html
,"519,-",https://www.coolblue.nl/en/product/467284/dali-sub-e-9f-black.html
"399,-","368,-",https://www.coolblue.nl/en/second-chance-product/699078
,"249,-",https://www.coolblue.nl/en/product/683622/jbl-control-x-wit-per-paar.html
,"349,-",https://www.coolblue.nl/en/product/806516/magnat-cinemotion-510.html
,"399,-",https://www.coolblue.nl/en/product/819358/klipsch-rp-600c-each.html
"398,-","367,-",https://www.coolblue.nl/en/second-chance-product/690379
"398,-","367,-",https://www.coolblue.nl/en/second-chance-product/690378
,"249,-",https://www.coolblue.nl/en/product/802497/jamo-s-808-subwoofer-black.html
,"318,-",https://www.coolblue.nl/en/product/816619/monitor-audio-monitor-100-per-pair.html
"599,-","552,-",https://www.coolblue.nl/en/second-chance-product/693442
"429,-","302,-",https://www.coolblue.nl/en/second-chance-product/673872
,"279,-",https://www.coolblue.nl/en/product/819476/klipsch-r-52c-each.html
"449,-","414,-",https://www.coolblue.nl/en/second-chance-product/698964
"429,-","347,-",https://www.coolblue.nl/en/second-chance-product/649600
,"439,-",https://www.coolblue.nl/en/product/819412/klipsch-rp-404c-each.html
,"299,-",https://www.coolblue.nl/en/product/815471/q-acoustics-3020i-walnut-per-pair.html
,"182,-",https://www.coolblue.nl/en/product/796835/dali-spektor-vokal-black-per-unit.html
"480,-","399,-",https://www.coolblue.nl/en/product/816649/monitor-audio-monitor-mrw-10-per-piece.html
